"the_geom","Street","TrafDir","SegmentID","RW_TYPE","StreetWidt","Boro","Facility","Direction","Hours","Days","Days_Code","Lane_width","Lane_Type1","Lane_Type","Lane_Descr","Lane_Color","SBS_Route1","SBS_Route2","SBS_Route3","Open_dates","Year1","Year2","Year3","Last_Updat","Chron_ID_1","Shape_Leng","Shape_Le_1","Mid_Block"
"MULTILINESTRING ((-73.86599369494432 40.823242866588764, -73.8659344181046 40.82325073106405))","STORY AVENUE","T","9004324","1","0","BX","Story Avenue","EB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","16.6542809568","MULTILINESTRING ((1021338.67449826 239235.13903342187, 1021355.076040253 239238.02944758534))",
"MULTILINESTRING ((-73.86599369494432 40.823242866588764, -73.8659344181046 40.82325073106405))","STORY AVENUE","T","9004324","1","0","BX","Story Avenue","WB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","16.6542809568","MULTILINESTRING ((1021338.67449826 239235.13903342187, 1021355.076040253 239238.02944758534))",
"MULTILINESTRING ((-73.86586464994286 40.823259985379046, -73.8658255600779 40.82326517178834))","STORY AVENUE","T","9008986","1","0","BX","Story Avenue","WB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","10.9826070868","MULTILINESTRING ((1021374.3804635853 239241.43068750203, 1021385.1963868439 239243.33685167134))",
"MULTILINESTRING ((-73.8658255600779 40.82326517178834, -73.86573288718172 40.82327746736273))","STORY AVENUE","T","9004326","1","0","BX","Story Avenue","WB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","26.0371690229","MULTILINESTRING ((1021385.1963868439 239243.33685167134, 1021410.8383959234 239247.85587149858))",
"MULTILINESTRING ((-73.86573288718172 40.82327746736273, -73.8649609476784 40.82337987995225))","STORY AVENUE","T","9004327","1","0","BX","Story Avenue","EB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","216.881825323","MULTILINESTRING ((1021410.8383959234 239247.85587149858, 1021624.4288480133 239285.49687233567))",
"MULTILINESTRING ((-73.86573288718172 40.82327746736273, -73.8649609476784 40.82337987995225))","STORY AVENUE","T","9004327","1","0","BX","Story Avenue","WB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","216.881825323","MULTILINESTRING ((1021410.8383959234 239247.85587149858, 1021624.4288480133 239285.49687233567))",
"MULTILINESTRING ((-73.8649609476784 40.82337987995225, -73.86489263531985 40.8233889426778))","STORY AVENUE","T","9004328","1","0","BX","Story Avenue","EB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","19.1928075532","MULTILINESTRING ((1021624.4288480133 239285.49687233567, 1021643.3303850144 239288.82790242136))",
"MULTILINESTRING ((-73.8649609476784 40.82337987995225, -73.86489263531985 40.8233889426778))","STORY AVENUE","T","9004328","1","0","BX","Story Avenue","WB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","19.1928075532","MULTILINESTRING ((1021624.4288480133 239285.49687233567, 1021643.3303850144 239288.82790242136))",
"MULTILINESTRING ((-73.86489263531985 40.8233889426778, -73.8646456129254 40.823421712926624))","STORY AVENUE","T","9004329","1","0","BX","Story Avenue","WB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","69.4024730478","MULTILINESTRING ((1021643.3303850144 239288.82790242136, 1021711.6796577573 239300.87282584608))",
"MULTILINESTRING ((-74.01516257034258 40.70480509460252, -74.01527219834682 40.704830036886136))","BATTERY PLACE","T","0235149","1","0","MAN","Battery Pl","WB","24 Hours","7 Days/Week","7","Single","Shared Lane","Curbside",,,,,,"06/10/2021","2021","0","0","12/15/2021","MAN2021","31.7248621777","MULTILINESTRING ((980046.0129892528 196056.34218908846, 980015.6190211773 196065.43469059467))",
"MULTILINESTRING ((-74.01516257034258 40.70480509460252, -74.01527219834682 40.704830036886136))","BATTERY PLACE","T","0235149","1","0","MAN","Battery Pl","WB","24 Hours","7 Days/Week","7","Single","Shared Lane","Curbside",,,,,,"06/10/2021","2021","0","0","12/15/2021","MAN2021","31.7248621777","MULTILINESTRING ((980046.0129892528 196056.34218908846, 980015.6190211773 196065.43469059467))",
"MULTILINESTRING ((-74.01428922904726 40.70454907563197, -74.01434607264702 40.70460019690655))","BATTERY PLACE","T","0235519","1","0","MAN","Battery Pl","WB","24 Hours","7 Days/Week","7","Single","Shared Lane","Curbside",,,,,,"06/10/2021","2021","0","0","12/15/2021","MAN2021","24.3984891704","MULTILINESTRING ((980288.141113922 195963.0261027515, 980272.3835995048 195981.65369017422))",
"MULTILINESTRING ((-74.01434607264702 40.70460019690655, -74.01449545584461 40.704649401954256, -74.01464806950985 40.70469248201773, -74.01476206885734 40.70472017349289, -74.01487740585014 40.704744446340335))","BATTERY PLACE","T","0235597","1","0","MAN","Battery Pl","WB","24 Hours","7 Days/Week","7","Single","Shared Lane","Curbside",,,,,,"06/10/2021","2021","0","0","12/15/2021","MAN2021","156.619791466","MULTILINESTRING ((980272.3835995048 195981.65369017422, 980230.968328014 195999.5873813331, 980188.6570609212 196015.28977775574, 980157.0511530042 196025.38391767442, 980125.0741828382 196034.23265326023))",
"MULTILINESTRING ((-74.01434607264702 40.70460019690655, -74.01449545584461 40.704649401954256, -74.01464806950985 40.70469248201773, -74.01476206885734 40.70472017349289, -74.01487740585014 40.704744446340335))","BATTERY PLACE","T","0235597","1","0","MAN","Battery Pl","WB","24 Hours","7 Days/Week","7","Single","Shared Lane","Curbside",,,,,,"06/10/2021","2021","0","0","12/15/2021","MAN2021","156.619791466","MULTILINESTRING ((980272.3835995048 195981.65369017422, 980230.968328014 195999.5873813331, 980188.6570609212 196015.28977775574, 980157.0511530042 196025.38391767442, 980125.0741828382 196034.23265326023))",
"MULTILINESTRING ((-74.01487740585014 40.704744446340335, -74.01491925742559 40.70475234651426, -74.01496125208953 40.70475979729913))","BATTERY PLACE","T","0235598","1","0","MAN","Battery Pl","WB","24 Hours","7 Days/Week","7","Single","Shared Lane","Curbside",,,,,,"06/10/2021","2021","0","0","12/15/2021","MAN2021","23.9111854349","MULTILINESTRING ((980125.0741828382 196034.23265326023, 980113.4708595872 196037.11289684474, 980101.827838257 196039.82942683995))",
